裙腳仔,2
feel,10
阿媽,22
患,1
重病,1
內向,1
邂逅,1
想,231
自殺,4
見,174
幫,90
吓,141
終於,6
成為,5
沿途,5
每個,4
點,306
略,1
港產片,3
質感,1
實,30
感覺,34
共鳴,1
生活,14
寫,61
嗰樣,18
婦權,1
女權,1
當道,1
嗰邊,39
樣樣,4
蓬勃,2
艷舞,9
每,41
寧願,14
鎊,1
入去,22
忽萌奇想,1
後尾,29
各,12
心理,7
障礙,3
衝,3
破,2
不如,40
熄,10
部,63
電視,23
嘍,31
一陣間,7
錄,15
埋,164
Okay,4
頭先,42
Raymond,14
繼續,36
落去,55
張,103
少華,6
食飯,31
咩,272
問,148
poster,2
啫,246
港姐,3
鍾意,144
邊個,126
翁,3
嘉穗,1
二,14
第二,48
名,30
冠軍,5
and,7
亞軍,2
李,30
明惠,2
會計師,1
選,1
開會,8
呀,402
好似,316
EO,10
入面,1
department,11
細,49
出去,34
handle,1
快撈,1
搞,95
十一月,1
滅罪,1
禁毒,1
委員會,1
嘉年華會,1
Jenny,3
除咗,17
ALO,2
之外,13
offer,2
呃,55
Lily,21
照,14
常理,1
應該,175
quit,1
份,91
咦,92
!,296
醒,14
好揾,6
兩萬,2
月,78
老細,25
十三萬,1
District,1
Officer,1
DO,2
類似,9
咁上下,6
政務處,1
入邊,22
音,8
叫,111
提議,3
郭,21
富城,19
啋,2
梗係,104
即刻,44
哄,1
OK,18
易,13
請,71
四大天王,1
風雲,1
嘿,31
廿,25
周圍,20
葵芳,2
運動場,1
地鐵站,4
露天,1
人造,1
足,2
草地,1
足球場,1
方便,15
到時,11
lecturer,4
梁,6
詠琪,5
溫柔,2
歌,19
高,63
關,17
high,2
算,80
一係,45
踢波,4
碧咸,6
山度士,5
射,4
波,8
屋企,78
好彩,18
咋,142
南華,4
踢,8
曼聯,7
鮓,8
死,126
撩,4
搞錯,15
嘔電,1
艾爾頓,24
,228
訂,23
Chase,3
Citibank,2
定,81
贊助,1
決裂,2
上次,24
打電話,16
日本,42
實情,1
得罪,15
詳情,2
詳細,3
詳,1
邊,111
call,22
盡快,1
覆,21
禮拜,41
出聲,9
手信,2
咦咿哦哦,1
語,1
語氣,2
斬釘截鐵,1
最近,25
殺氣,4
唔使,118
唔好意思,7
乜鬼,8
意思,27
啞,4
兜,4
特別,43
句,16
㗎,54
清楚,19
雙向,1
讀,178
語文,1
說話,5
直接,5
,33
究竟,22
家姐,14
Carol,1
自從,6
嗰次,8
態度,10
conflict,4
傻,21
揀,45
阿木,13
親,18
不過,201
人哋,85
壓,1
價,16
聽聞,3
in,12
中學,9
私校,5
一齊,50
聖瑪嘉烈,1
GM,7
graduate,1
master,5
年班,2
condition,1
CM,8
幾多,88
四千,6
萬五,2
左右,2
萬七,3
萬六,1
percent,4
當,37
一萬九千幾,2
減,14
一萬五千幾,1
選擇,8
Marketing,5
assistant,3
係唔係,17
準備,11
學校,48
個個,32
教書,23
小學,27
屯門,14
掂,40
難,65
send,3
信,59
有啲,94
同學,92
一百,25
封,14
反應,9
人工,31
一樣,36
早,34
抵,27
起碼,26
小學生,1
總,5
升,24
遲,20
bargain,1
一輪,1
轉,27
遲啲,14
理論上,5
惡劣,4
講真,25
離,3
咯,22
關係,12
三,97
冷落,1
下年,10
投,4
利物浦,2
支持,4
三𠻺幾,1
球場,1
贏,8
球,1
好嘢,5
爭啲,6
一早,4
入波,1
擺明,1
讓,10
肯定,24
簡東拿,1
走,62
一路,27
讓出,1
位置,5
舒靈咸,5
恩斯,4
廢,13
正一,1
費格遜,1
離晒譜,1
表現,7
嚿,8
垃圾,4
隊,16
號,23
波衫,3
國腳,3
改為,1
冇錯,14
不嬲,14
舊年,12
英格蘭,3
史高斯,1
唔記得,49
國家,13
十七,7
McManaman,1
咓,11
唉,97
改,25
麥馬拿文,1
出年,2
法國,9
一視同仁,2
女,24
唔同,55
正所謂,1
女大不中留,1
潑,2
水,24
世界杯,2
留,17
全部,37
比賽,5
酒店,13
轉播,2
溶,4
初賽,1
鼠,1
返來,78
淨係,63
決賽,2
跟,31
團,14
秘密,4
老豆,12
北京,8
體委,1
大陸,42
中國,18
決賽週,1
關事,2
辦法,24
明顯,8
德國,9
巴西,8
悶,31
捧,7
次,132
學,51
本來,12
早輪,2
杯,20
美洲,1
實在,9
太,61
勁,28
正,48
朗拿度,6
老掏古,2
淘古井,4
煲老藕,2
丹尼遜,2
超級,1
新星,1
將來,15
中場,1
靈魂,1
新人,2
靚,83
好波,3
李安納度,2
白色,7
腳法,3
覺,25
只有,1
原因,13
球星,1
球員,1
奇連士文,2
三𠻺,1
等陣間,1
老爺,4
等等,7
等,46
旅行,42
換,33
乾淨,9
魚缸,3
污糟,7
工人,5
魚,67
金魚缸,4
辛苦,53
鬼,64
養,118
細路哥,2
幾十,9
好玩,24
放,46
舒服,17
心理學,1
家,4
寫字樓,1
商業,6
社會,22
辦工室,1
風水,1
員工,4
缸,13
relax,4
緊張,8
回歸,9
大自然,2
專心,3
有陣時,18
休息,1
望,29
真,21
專登,3
報紙,14
外國,20
市儈,1
你哋,103
舊陣時,3
養魚,1
裝,6
拎,15
膠袋,1
袋,26
氧氣,4
五幾年,1
六幾年,2
魚舖,1
罐頭,4
嘜,2
咧,1
開,112
剩,9
空罐,1
細細,1
金魚,2
黑魔利,1
紅劍,1
細個,32
喔,1
係咪,11
火車站,4
旺角,9
啩,22
貴,96
知道,55
幾千,4
做生意,1
奇形怪狀,1
朝朝,3
佈置,1
水底,1
水草,13
石,4
打理,1
ei3,21
整,57
哎吔,71
哎,36
七彩神仙,3
睇見,2
書,53
生仔,3
終歸,1
記得,29
包,17
生,39
養大,1
搦,4
竇,4
幾百,9
業餘,2
窿路,1
先至,35
𠿪,13
麻煩,20
送,16
幾廿,5
發,9
五千,2
乜野,3
龍,1
龍吐珠,8
犀利,47
貪,2
長命,1
粗,3
第二啲,6
錦鯉,10
生命,5
長,26
十幾,8
日本人,3
池,2
魚池,2
上邊,27
花,10
撈,6
口,11
好鬼,1
擺,23
咬,16
食,187
溝,1
殘忍,2
寵物,8
樂趣,9
餵,3
湊,2
BB,8
飽,5
嗰時,24
滿足感,2
運,5
入來,11
台灣,9
度度,3
樹林,1
山水畫,1
間中,1
游來游去,1
仙境,1
光,3
燈,1
青,2
青苔,1
顏色,1
狗,30
貓,8
污糟邋遢,1
冇份,1
掉,5
通度,1
嘥,13
怕,7
餓,1
漚,3
水質,1
變,79
嫌,4
理,26
陶冶,1
性情,2
清靜,1
環境,16
由,32
領略,1
走去,23
㧬,3
支,11
棍,3
啄,9
擁開,1
保護,2
病,8
抽筋,1
心臟病,2
突然間,13
揦,6
噉樣樣,12
醫生,14
醫,9
藥,9
係噉先,2
拜拜,9
從來,8
分,45
導演,3
藝術家,4
三流,3
入行,2
原本,19
崇高,1
偉大,2
理想,3
力有不逮,1
於是,7
轉而,1
普羅大眾,1
退而求其次,1
刻意,2
複雜,6
諗法,10
點知,15
聰明,1
抉擇,1
創作,10
咁滯,9
一定,85
還,12
更加,32
難受,1
認真,5
壓力,7
藝術,2
媒界,1
原創,1
性,5
媒,1
工作,25
者,2
向,4
市民,5
負責,5
唔怪得知,2
成功,8
come,2
back,2
再,93
中興,1
媒體,1
弱,3
趨勢,2
有得,38
心血,1
扯,3
手,27
等於,8
錯,43
路,12
觀眾,7
坐,36
predict,2
真情,2
類型,7
師奶,3
闔府統請,1
range,1
format,2
對於,22
亞視,15
耐唔時,1
實質上,4
管理層,1
製作,5
相當之,5
自把自為,1
性格,11
滿足,2
同事,24
度橋,4
做嘢,24
珍惜,2
得到,14
個人,3
推進,1
差唔多,49
極,5
去到,23
盡,6
作為,13
市場,10
內地,3
沿海,1
清晰,2
放棄,7
捱,11
另一個,3
順德,1
歡迎,3
溝通,5
策略,1
接客,1
直程,38
範疇,1
for,5
哩樣,62
合法,1
廣告,8
禮拜四,3
將會,3
宣傳,4
,9
價值,9
香,5
口味,3
照顧,6
通,9
老闆,20
勿,1
搏,3
請問,1
純粹,8
好奇,1
立心不良,1
倒閉,3
電視台,6
牌,13
Richard,1
電台,1
專利,1
支撐,1
政府,17
牌費,7
法,12
外間,1
差,27
自,1
惻隱之心,1
公專,1
快樂,2
壞,13
,2
屋村,4
本身,24
小康,1
中產,1
居住,1
小朋友,3
玩,128
諸如此類,1
雜,2
發覺,20
走廊,2
伏喱喱,1
不,6
呵,29
形象,3
處理,4
反而,23
殺,7
雞,7
事件,3
搬,18
焗,10
台,5
危機重重,1
某程度上,1
安穩,1
逆境起枕,1
某程度,1
傳媒,6
公平,5
TVB,13
同等,1
長江實業,1
小,5
規模,4
地產,4
公司,93
生存,1
困難,4
倍,13
建築物,2
宏偉,1
爛身爛世,1
待,1
穩定,6
中層,6
重要,9
變遷,1
固然,2
永遠,14
無線,3
探討,1
女性,12
方面,30
返工,36
放工,3
出邊,15
中,28
高層,3
姿彩,1
ball,1
慈善,1
餐,10
自閉,1
虛名,1
相對,3
其他,54
行業,6
更,6
越來越,14
幼稚,3
做做,1
越做越,1
老人精,1
?幾,1
收埋,9
拖鞋,1
夜晚,10
偷,5
麵,1
困,2
圈子,2
無中生有,3
無聊,25
劃,2
塊,17
面,11
吼,1
瞓,16
冚唪唥,7
出現,16
訪問,3
